,COPEPODS_01,COPEPODS_05,COPEPODS_06,COPEPODS_07,COPEPODS_08,COPEPODS_09,COPEPODS_10,COPEPODS_11,COPEPODS_12,COPEPODS_14,COPEPODS_15,COPEPODS_16,COPEPODS_17,COPEPODS_18,COPEPODS_19,COPEPODS_20,COPEPODS_21,COPEPODS_22,COPEPODS_23,COPEPODS_24,COPEPODS_25,COPEPODS_26,COPEPODS_27,COPEPODS_28,COPEPODS_29,COPEPODS_30,COPEPODS_31,COPEPODS_32,COPEPODS_33,COPEPODS_34,COPEPODS_35,COPEPODS_36,COPEPODS_37,COPEPODS_38,COPEPODS_39,COPEPODS_40,COPEPODS_41,COPEPODS_42,COPEPODS_43,COPEPODS_44,COPEPODS_45,COPEPODS_46,COPEPODS_47,COPEPODS_48,COPEPODS_49,COPEPODS_50,COPEPODS_51,COPEPODS_52,COPEPODS_53,COPEPODS_54,COPEPODS_55,COPEPODS_56,COPEPODS_57,COPEPODS_58,COPEPODS_59,COPEPODS_60,COPEPODS_61
TRINITY_DN34407_c1_g9_i2.m.47260,5.269646538,6.286775572,6.669955303,4.796269294,5.153458334,5.902412772,5.939213291,4.617914649,6.056423636,6.254913328,6.556797076,6.705869626,6.371695032,6.285569157,6.016807114,4.572403499,6.505324144,6.489042063,6.52370007,6.892762499,6.319458526,6.416223986,4.728161955,6.022973523,6.502990464,6.114317728,6.52746575,5.264313643,4.754591165,6.172212819,6.154871485,6.283827098,6.412902335,6.625062596,6.317948459,6.126812285,6.328445183,5.815720373,6.479658723,5.971493195,6.669953368,6.680742879,6.716342357,6.379790117,6.849276084,4.716996563,6.026814398,5.705648159,6.211845974,6.307384502,5.574672897,4.813443839,4.725447944,6.602387487,6.142176513,4.589154902,6.490380639
TRINITY_DN34412_c0_g2_i1.m.47268,2.617286298,4.634410561,2.602563683,3.728875175,4.086055286,4.098046261,4.549885983,NA,2.667104555,2.602546179,3.68203737,4.223432864,NA,3.633210597,2.627484531,3.505002304,NA,4.199250108,4.648945704,2.655449368,4.252059392,5.348824167,4.24573001,4.218604727,3.628239263,2.72498462,3.652713808,4.611952295,2.687182725,NA,4.824435844,3.631459326,2.538158677,4.750306144,3.443197895,NA,NA,NA,NA,3.582166652,NA,4.198305765,3.648939843,NA,4.196914351,3.649596696,3.63748145,4.223208908,4.144449458,3.655021921,2.507272862,3.746049689,3.658049893,NA,3.489816596,NA,4.615627083
TRINITY_DN34449_c0_g2_i4.m.47562,1.815944029,2.833066245,2.801193935,1.927511059,3.284702245,2.711734106,3.333489145,1.749144704,1.865724793,1.801214223,2.880685357,3.422077225,NA,2.83185669,2.826127272,NA,2.829205674,1.812949495,3.432549465,2.854074181,1.865743001,3.547471336,2.859412632,1.832290239,2.826874089,NA,1.851358808,2.810601515,3.470793646,3.303459876,2.701147995,3.415077601,2.736786964,2.948959352,3.226805494,NA,NA,NA,2.803552349,3.365777941,NA,2.811990556,3.432543047,1.7036717,3.810598051,3.433204325,1.836112404,3.421857283,2.758135317,3.438623612,2.705911097,1.944684404,1.856678163,3.318589586,2.688461661,NA,3.399227094
TRINITY_DN34455_c0_g2_i2.m.47486,5.937715952,6.20277284,6.446550788,6.219230384,6.52196841,6.833516817,6.570757164,6.571385483,6.941725959,6.566839954,6.461906588,6.602758628,6.993962178,6.275567735,6.805893507,6.348995905,6.34332059,6.635159949,6.217306057,6.063332691,6.309456615,6.171756846,6.229125474,5.276004298,6.408101105,6.293350533,6.617000398,6.687270836,6.255554252,6.595171443,5.282374381,6.199824063,6.318012635,6.530172408,6.670517284,6.915898453,6.751403952,6.823642069,5.732692414,6.546453615,6.507948394,6.181703042,6.217302591,6.469324282,6.517346325,6.554992054,5.41735036,6.418112834,6.339349083,6.297383626,6.582594356,6.314403238,6.733366248,6.555860857,6.510686696,6.700167384,6.459621652
TRINITY_DN34460_c0_g1_i1.m.47616,3.188698944,3.446837706,3.621437628,3.928324555,4.256943433,3.325517613,4.706269677,4.61669928,4.533975305,3.521899477,4.317593749,2.072398553,3.738208124,3.330152975,3.439909626,4.201953075,3.443003249,2.896197978,3.760940643,4.522316271,4.988539439,3.460809279,3.860215244,3.833096173,3.910152785,4.229297646,4.519586148,4.424380023,4.499624061,3.801766289,3.52139371,3.74345336,3.10957225,3.447267078,3.725110637,4.171399146,4.431926036,3.767196171,3.301863278,3.601040001,4.238106184,3.532691968,4.284492507,3.704489346,3.811408028,4.153908432,3.919397018,3.837699956,4.426361625,3.467450141,3.526150013,3.442996693,4.2294708,2.454322371,4.186763861,4.721208788,3.815082998
TRINITY_DN34491_c3_g4_i1.m.47952,10.12299854,10.21647795,10.52722273,10.12041525,10.48324797,11.10994684,10.94988991,11.87251564,11.51961374,10.82310866,10.65287925,9.978174428,10.28644799,9.990398696,11.28911175,11.84909777,10.39408234,10.18140239,10.34534377,10.62627466,11.31458486,10.30060251,10.43733297,10.60448179,10.49303189,10.50155876,11.65723102,11.06170815,10.26925858,11.04889841,10.4153987,10.63598496,10.86902899,11.28704989,10.75626348,10.17906828,10.42641984,10.37432996,10.15691258,10.81224456,10.37912184,9.970534874,10.51373817,10.83591608,10.38851975,10.00678914,10.46512879,11.23511026,11.44250372,10.06343928,11.61871006,10.46966331,11.12401453,10.10210331,11.61662462,12.00375192,11.04072265
TRINITY_DN34511_c0_g1_i4.m.48158,3.709995576,3.727128152,3.695261591,NA,3.593810312,NA,NA,NA,3.759813006,NA,NA,3.731176311,NA,3.725920926,3.720190597,NA,NA,3.706995596,3.741653247,3.748148796,NA,3.856567351,NA,NA,3.720947236,NA,4.745423412,NA,NA,3.612562719,NA,3.724176428,NA,3.843019631,3.535900196,3.830195845,NA,3.841027225,3.697618553,3.674880224,NA,3.706058548,3.741654136,3.597745256,3.704666606,3.742312844,3.730201808,3.730957797,3.652198363,NA,3.599982719,3.838758242,3.75075775,3.627699307,3.582522401,NA,3.708332806
TRINITY_DN34514_c1_g1_i1.m.48202,3.792082384,2.809201985,1.777360026,1.903678525,NA,1.687895755,1.724669779,NA,NA,NA,1.85684548,1.813258498,1.89412367,1.808022435,2.802269224,NA,1.805365217,2.78907996,1.823727541,1.830244853,1.841906162,2.938656657,2.835571306,NA,1.803028666,NA,1.827489787,NA,1.861976351,NA,2.677314027,2.806269036,2.712939246,3.510070763,NA,NA,2.850889901,1.923138809,1.77971237,1.756949409,NA,1.788146328,3.408697712,2.679829789,2.786745974,3.409354866,2.812287839,3.398008706,3.319242888,3.414777725,1.682090412,1.920842891,1.832848006,2.709777743,NA,NA,1.790424942
TRINITY_DN34523_c1_g2_i1.m.48123,5.177658509,5.387431845,5.162929638,5.066851339,4.576043364,5.073457814,4.887864322,4.888492861,4.742041683,4.677499962,4.756986338,4.976452429,5.057312396,2.386215173,4.380500034,4.842982628,4.968552412,4.952267771,4.723893117,3.993417297,4.420114201,3.516873971,4.998745703,3.971623898,5.188610133,5.06297046,4.990691793,4.949931351,4.762138789,4.85783335,2.255521408,4.70641149,4.613096122,5.088289856,4.518142158,5.075465373,5.236454914,4.823268098,4.942883937,4.920144577,4.940535021,4.951323885,4.986922052,4.579982455,5.172324337,3.987579541,2.390497913,4.71319694,4.634433588,4.72996874,4.582218833,3.499065494,4.73299501,4.609936792,4.827796785,4.596697677,5.175999143
TRINITY_DN34523_c1_g5_i1.m.48128,2.960311172,2.97745526,2.945596678,3.071912962,3.844127788,2.856123016,3.892915107,4.478509269,5.332060407,3.945584958,4.025075756,2.981498311,4.062366418,NA,3.970514245,3.84803529,2.973610847,4.542284478,2.99198412,4.583436542,3.01013291,3.106892349,NA,2.976685698,3.971272944,3.068028444,4.580708822,5.276914069,4.030226806,2.862883246,2.845547509,4.559460734,2.881184314,4.093343378,4.786229211,4.665481574,5.019118263,4.676319643,2.947940502,3.925201905,3.945588679,2.956383159,4.576940326,3.84806506,4.539949667,4.577596822,4.565481455,2.981290592,3.902520066,2.998051937,3.850307211,5.089079215,4.586042091,3.878018388,4.417807495,2.864791278,2.958658186
