"","COPEPODS_01","COPEPODS_05","COPEPODS_06","COPEPODS_07","COPEPODS_08","COPEPODS_09","COPEPODS_10","COPEPODS_11","COPEPODS_12","COPEPODS_14","COPEPODS_15","COPEPODS_16","COPEPODS_17","COPEPODS_18","COPEPODS_19","COPEPODS_20","COPEPODS_21","COPEPODS_22","COPEPODS_23","COPEPODS_24","COPEPODS_25","COPEPODS_26","COPEPODS_27","COPEPODS_28","COPEPODS_29","COPEPODS_30","COPEPODS_31","COPEPODS_32","COPEPODS_33","COPEPODS_34","COPEPODS_35","COPEPODS_36","COPEPODS_37","COPEPODS_38","COPEPODS_39","COPEPODS_40","COPEPODS_41","COPEPODS_42","COPEPODS_43","COPEPODS_44","COPEPODS_45","COPEPODS_46","COPEPODS_47","COPEPODS_48","COPEPODS_49","COPEPODS_50","COPEPODS_51","COPEPODS_52","COPEPODS_53","COPEPODS_54","COPEPODS_55","COPEPODS_56","COPEPODS_57","COPEPODS_58","COPEPODS_59","COPEPODS_60","COPEPODS_61"
"TRINITY_DN35549_c0_g2_i1.m.56480",4.6778616695,4.4303688555,4.599857635,4.212968114,4.388296086,4.768223952,4.832696208,4.8543051465,4.701869893,4.314150671,4.8065221615,4.205960749,4.64018599,4.41765841,4.595584972,4.481403572,4.501488814,4.361075768,4.723003012,4.337992896,4.505474984,3.686362574,4.425564989,4.610306224,4.6195201425,4.885870969,4.5833325175,4.524208936,4.672895102,4.582289711,4.496790247,4.5306937065,4.434295336,4.513083334,4.312833299,4.857581707,4.884726976,4.490367416,4.300394706,4.459330786,4.7106290075,4.691223056,4.742753331,4.728627641,4.652832127,4.7801789005,4.816754795,4.247733934,4.563593182,4.219717674,5.102616504,4.5942609655,4.7268431435,4.506229278,4.521300175,4.773415226,4.59558464
"TRINITY_DN35559_c0_g2_i4.m.56554",3.8612163465,3.3698062305,3.861218121,2.358847149,2.912690821,3.54415324,3.87166425,NA,2.460733333,3.353113179,4.1382679045,3.936804085,NA,4.041587982,3.354440723,NA,2.540450911,3.622436862,4.206754408,3.862381189,3.264336377,4.532678403,4.534915585,1.456613648,4.0508061575,NA,NA,3.955495837,3.431747342,3.5806214,3.02118339,4.0550894185,3.958688872,3.452518274,3.673724426,NA,NA,NA,2.446278823,3.720682827,NA,4.367620689,4.341149353,3.253012016,4.084109718,3.0415301945,2.493146922,3.715535475,4.217271993,4.066041608,3.305083757,4.1604721225,3.9881992935,3.674481194,NA,NA,4.524370819
"TRINITY_DN35564_c0_g1_i1.m.56559",5.8580467275,5.5730841855,6.121083417,5.80091812,5.794044157,6.010472227,5.8905216,6.2600521085,6.149436172,5.640465456,5.8676232505,5.46585703,5.728741975,4.337979035,6.217652055,6.002628978,5.80032356,5.181863894,5.351145733,5.814129258,5.911223093,3.999002089,5.731775357,5.601013513,5.8581597925,5.762927597,6.0334786125,5.356222097,5.719099692,6.121896913,5.421910915,5.6734083465,5.887350337,5.712377669,5.6391452,5.758095438,5.744193072,5.666635509,5.706145396,5.658625397,5.7717303255,5.353310369,5.681932187,6.060373002,5.865930663,5.7708880565,5.696436031,5.567749701,5.969342496,4.362435112,6.073961896,5.8898268415,5.7440291895,5.435540675,6.136499013,6.232274359,5.936239322
"TRINITY_DN35571_c1_g6_i1.m.56590",NA,NA,5.699692131,5.367249344,5.558522729,5.645668107,6.295101394,7.0569503075,6.054091821,5.361521107,6.8418190645,5.360244417,5.983945174,5.465027328,NA,6.281680064,6.548857617,NA,4.407805249,6.02278937,5.009699946,NA,6.875894753,5.20199308,6.0592063915,6.018129836,6.4380589145,5.793971614,NA,5.489481324,5.181584711,5.7009206145,5.60452033,5.683307414,6.097165705,6.574802567,6.878851839,5.48002175,6.191645523,5.629553666,6.6584629805,6.11298761,NA,5.99838582,6.922589979,7.0499377245,5.916592071,5.402016711,6.418317775,6.489481304,5.535874351,NA,NA,NA,5.112984987,5.72124771,5.36284569
"TRINITY_DN35596_c0_g1_i1.m.56843",2.3149814325,1.6715420285,2.577998843,1.66060676,1.629499198,1.939015442,2.003486915,1.9579659815,1.762492055,0.0699071670000005,2.0477034815,2.068620704,2.54032727,1.173408194,2.071230928,1.459569347,1.842190236,1.602257645,2.116183495,0.994219111,1.981132177,0.249522858,2.666739275,2.173400014,2.1826259135,1.574532325,1.7314193655,1.087350739,1.733527351,2.560449722,2.737959973,2.1869011945,2.897866149,1.169313161,2.653557368,2.283194856,1.924260071,2.287945993,2.16306547,1.700534701,2.2737379125,1.08442038,1.057969744,1.969822407,2.215948484,1.1733356875,2.53185888,0.110336577,1.711656914,1.197883813,2.021877739,2.6548678015,1.7049888945,1.069332101,1.084410502,2.014583,2.656203293
"TRINITY_DN35618_c0_g1_i2.m.57116",1.0968781875,0.1904621605,NA,NA,NA,0.0428221780000004,NA,0.0618600584999998,1.866300376,NA,0.1514688825,0.172431978,1.059196883,0.277240544,0.175002158,0.978394289,0.361063546,0.121146973,NA,1.098052991,1.669902385,1.938252037,1.185612585,0.277219672000001,1.2864653785,0.0933754990000006,1.2502697685,1.191145004,0.252396942,0.0792720910000008,0.2568426,1.2907266745,0.194388541000001,0.273162291,1.1723877,1.065056723,1.028121425,NA,NA,1.219390826,1.0556284885,1.188231797,1.74673231,1.073640043,1.319751948,1.2771536095,1.898744123,1.214216274,1.230539235,0.301740965000001,1.125668409,0.1736867645,1.8088272595,1.758141826,1.18822415,1.118412378,NA
"TRINITY_DN35644_c0_g1_i1.m.57306",1.3418228275,0.4353350035,1.341817655,1.424429607,1.978241478,1.287800744,1.35224213,NA,1.526312639,0.418632916000001,1.3964877415,1.417377501,0.304162318,1.522199033,0.419979428,NA,0.605990005,1.366052648,1.464965215,1.342961336,0.329907317000001,1.598257276,1.430547575,1.522163052,1.5314133825,1.338324324,1.4952404515,1.43609933,1.497291362,0.324253310000001,0.501763902,0.535693649500001,0.439315900000001,1.51808754,0.417392207000001,0.310038659,0.273019984,0.314764019,0.511790425000001,1.464305415,0.3006361395,1.433194712,1.40668498,1.318552251,1.564727053,1.5221399425,1.55869975,1.459186941,1.475494505,1.546630035,1.370667483,1.4186854665,1.4688081345,2.003085775,0.433214303,0.363349755000001,0.420030635000001
"TRINITY_DN35651_c0_g1_i1.m.57240",8.7526592765,8.8026192635,8.354695697,8.108273728,9.03386835,9.107216042,8.842464106,7.5051913075,8.76881763,8.96077013,8.6048295475,8.707394607,8.186852744,8.740387444,9.196756758,7.616929259,8.507188535,8.750918768,8.702657765,8.678922887,8.844276559,8.835938378,8.725206167,7.853596045,8.7496037525,NA,8.6685635885,9.102078625,8.202341829,8.542449459,7.921186105,8.7636688845,8.45781503,9.110248018,8.057937818,8.217304637,8.234088716,8.215959474,NA,8.029743335,8.1956295685,8.626634346,8.742648599,8.517016992,8.768114365,8.2201419045,8.085035648,8.933029161,8.981844992,8.822555597,9.240919012,8.8718362885,9.1311868275,8.698734593,8.533856515,7.601064597,8.427217514
"TRINITY_DN35651_c0_g1_i2.m.57245",3.0445589425,3.7230633845,3.044548951,4.449076651,3.096026127,1.990523095,4.376929952,NA,NA,3.121422854,4.0992139515,4.120143948,2.006867053,4.224928794,NA,NA,3.893721454,3.068816453,4.167703806,4.045720909,3.617598766,4.300984866,4.133297454,4.224927056,3.8191100605,4.362991342,2.1979481645,3.138836909,4.200050662,3.026991845,3.789479484,2.2384433585,3.726989592,3.220817625,2.120098024,3.597741416,2.975794853,3.01752473,3.799537644,2.167056071,3.5882868465,3.135928671,3.694411646,2.021336396,3.267451934,2.2248707445,3.846418449,3.1619193,2.178218391,4.249380558,3.073382698,3.7063811305,3.1715494355,3.705817503,3.135921714,NA,2.122753038
"TRINITY_DN35651_c0_g3_i1.m.57269",6.4411594235,7.4277931165,7.441159645,6.301362946,7.592169962,8.334666309,8.036568798,6.4060993395,7.403241227,7.710671076,7.6884674395,7.796857186,7.055560412,7.514617461,8.1043133,NA,7.705363046,7.827983975,7.564306594,7.722435255,7.621884137,8.060157594,7.044472637,6.814176013,7.9108571975,7.878240973,7.3721704485,7.313045116,5.789303037,7.864167079,7.115697313,7.7345682085,7.431717594,7.979988225,6.294311204,7.061456171,7.024468232,7.60677934,8.051756561,6.563665871,7.2930146745,7.310133727,7.868623604,7.195533079,7.66405643,6.3990862745,6.435666804,7.838627668,7.767467527,7.838630257,8.520613488,7.1701026235,7.5681482935,7.797565283,7.425609359,5.655358669,7.519350268
