,x
TRINITY_DN18511_c0_g1_i1|m.6563,10
TRINITY_DN18521_c0_g1_i3|m.6568,11
TRINITY_DN18535_c0_g1_i1|m.6578,4
TRINITY_DN18575_c0_g1_i1|m.6591,4
TRINITY_DN18642_c0_g1_i1|m.6646,10
TRINITY_DN18709_c0_g1_i1|m.6675,2
TRINITY_DN18762_c0_g1_i1|m.6697,2
TRINITY_DN18780_c0_g1_i1|m.6703,11
TRINITY_DN18813_c0_g1_i1|m.6744,2
TRINITY_DN18849_c0_g1_i1|m.6758,3
TRINITY_DN18889_c0_g1_i1|m.6793,10
TRINITY_DN18889_c0_g2_i1|m.6795,16
TRINITY_DN18894_c0_g1_i1|m.6801,17
TRINITY_DN18911_c0_g1_i1|m.6811,5
TRINITY_DN19121_c0_g1_i1|m.6892,5
TRINITY_DN19167_c0_g1_i1|m.6919,2
TRINITY_DN19169_c0_g1_i1|m.6920,10
TRINITY_DN19212_c0_g1_i1|m.6953,7
TRINITY_DN19266_c0_g1_i1|m.6984,5
TRINITY_DN19316_c0_g1_i1|m.7019,2
TRINITY_DN19320_c0_g1_i1|m.7023,10
TRINITY_DN19343_c0_g1_i1|m.7016,2
TRINITY_DN19360_c0_g1_i1|m.6998,8
TRINITY_DN19377_c0_g1_i1|m.7035,2
TRINITY_DN19494_c0_g1_i1|m.7122,10
TRINITY_DN19524_c0_g1_i1|m.7143,3
TRINITY_DN19558_c0_g1_i1|m.7169,6
TRINITY_DN19644_c0_g1_i1|m.7204,3
TRINITY_DN19648_c0_g1_i1|m.7220,7
TRINITY_DN19680_c0_g1_i1|m.7244,2
TRINITY_DN19686_c0_g1_i1|m.7251,5
TRINITY_DN19770_c0_g2_i1|m.7283,18
TRINITY_DN19802_c0_g1_i1|m.7321,13
TRINITY_DN19813_c0_g5_i1|m.7344,1
TRINITY_DN19833_c0_g1_i2|m.7355,5
TRINITY_DN19918_c0_g1_i1|m.7393,5
TRINITY_DN19934_c0_g1_i1|m.7414,5
TRINITY_DN19935_c0_g1_i1|m.7416,3
TRINITY_DN19935_c1_g2_i1|m.7417,15
TRINITY_DN19958_c0_g1_i1|m.7425,2
TRINITY_DN19963_c0_g1_i1|m.7430,5
TRINITY_DN19984_c0_g2_i3|m.7440,3
TRINITY_DN19984_c0_g3_i1|m.7444,3
TRINITY_DN20016_c0_g1_i1|m.7455,10
TRINITY_DN20017_c0_g1_i1|m.7463,2
TRINITY_DN20061_c1_g1_i1|m.7482,3
TRINITY_DN20065_c0_g1_i1|m.7478,10
TRINITY_DN20065_c0_g1_i2|m.7479,10
TRINITY_DN20078_c0_g1_i1|m.7490,4
TRINITY_DN20080_c0_g1_i1|m.7488,2
TRINITY_DN20098_c0_g1_i1|m.7499,3
TRINITY_DN20141_c0_g1_i1|m.7536,2
TRINITY_DN20182_c0_g1_i1|m.7553,10
TRINITY_DN20186_c0_g1_i1|m.7552,2
TRINITY_DN20196_c0_g1_i1|m.7557,13
TRINITY_DN20203_c0_g1_i1|m.7561,3
TRINITY_DN20221_c0_g1_i1|m.7568,10
TRINITY_DN20337_c0_g1_i1|m.7640,4
TRINITY_DN20368_c0_g1_i1|m.7648,19
TRINITY_DN20444_c0_g1_i1|m.7660,3
TRINITY_DN20447_c0_g1_i1|m.7692,2
TRINITY_DN20458_c0_g1_i1|m.7695,10
TRINITY_DN20550_c0_g1_i1|m.7761,12
TRINITY_DN20580_c0_g1_i1|m.7777,10
TRINITY_DN20653_c0_g1_i1|m.7820,10
TRINITY_DN20684_c0_g1_i1|m.7838,16
TRINITY_DN20691_c0_g1_i1|m.7852,5
TRINITY_DN20711_c0_g1_i1|m.7866,3
TRINITY_DN20734_c0_g1_i1|m.7881,18
TRINITY_DN20767_c0_g1_i1|m.7884,5
TRINITY_DN20777_c0_g1_i1|m.7900,5
TRINITY_DN20815_c0_g1_i1|m.7935,2
TRINITY_DN20835_c0_g1_i1|m.7929,10
TRINITY_DN20867_c0_g1_i1|m.7972,5
TRINITY_DN20879_c0_g1_i1|m.7987,2
TRINITY_DN20920_c0_g1_i1|m.8025,3
TRINITY_DN20962_c0_g1_i1|m.8056,2
TRINITY_DN20979_c0_g2_i1|m.8077,10
TRINITY_DN20979_c0_g4_i1|m.8082,7
TRINITY_DN20993_c0_g1_i1|m.8088,10
TRINITY_DN21032_c0_g1_i1|m.8131,12
TRINITY_DN21131_c0_g1_i1|m.8209,18
TRINITY_DN21132_c0_g1_i1|m.8211,10
